age,workclass,education-num,marital-status,occupation,capital-gains,capital-loss,hours-per-week,native-country,target
39,6,13,4,0,2174,0,40,38,0
50,5,13,2,3,0,0,13,38,0
38,3,9,0,5,0,0,40,38,0
53,3,7,2,5,0,0,40,38,0
28,3,13,2,9,0,0,40,4,0
37,3,14,2,3,0,0,40,38,0
49,3,5,3,7,0,0,16,22,0
52,5,9,2,3,0,0,45,38,1
31,3,14,4,9,14084,0,50,38,1
42,3,13,2,3,5178,0,40,38,1
37,3,10,2,3,0,0,80,38,1
30,6,13,2,9,0,0,40,18,1
23,3,13,4,0,0,0,30,38,0
32,3,12,4,11,0,0,50,38,0
40,3,11,2,2,0,0,40,41,1
34,3,4,2,13,0,0,45,25,0
25,5,9,4,4,0,0,35,38,0
32,3,9,4,6,0,0,40,38,0
38,3,7,2,11,0,0,50,38,0
43,5,14,0,3,0,0,45,38,1
40,3,16,2,9,0,0,60,38,1
54,3,9,5,7,0,0,20,38,0
35,0,5,2,4,0,0,40,38,0
43,3,7,2,13,0,2042,40,38,0
59,3,9,0,12,0,0,40,38,0
56,1,13,2,12,0,0,40,38,1
19,3,9,4,2,0,0,40,38,0
54,8,10,2,14,0,0,60,34,1
39,3,9,0,3,0,0,80,38,0
49,3,9,2,2,0,0,40,38,0
23,1,12,4,10,0,0,52,38,0
20,3,10,4,11,0,0,44,38,0
45,3,13,0,3,0,1408,40,38,0
30,0,10,2,0,0,0,40,38,0
22,6,10,2,7,0,0,15,38,0
48,3,7,4,6,0,0,40,32,0
21,3,10,4,6,0,0,40,38,0
19,3,9,1,0,0,0,25,38,0
31,3,10,2,11,0,0,38,41,1
48,5,12,2,9,0,0,40,38,0
31,3,5,2,6,0,0,43,38,0
53,5,13,2,9,0,0,40,38,0
24,3,13,2,12,0,0,50,38,0
49,3,9,5,0,0,0,40,38,0
25,3,9,4,5,0,0,35,38,0
57,0,13,2,9,0,0,40,38,1
53,3,9,2,6,0,0,38,38,0
44,3,14,0,3,0,0,40,38,0
41,6,11,2,2,0,0,40,38,0
29,3,11,4,9,0,0,43,38,0
25,3,10,2,3,0,0,40,38,0
18,3,9,4,7,0,0,30,41,0
47,3,15,2,9,0,1902,60,15,1
50,0,13,0,3,0,0,55,38,1
47,4,9,0,3,0,0,60,38,0
43,3,10,2,12,0,0,40,38,1
46,3,3,2,6,0,0,40,25,0
35,3,11,2,7,0,0,40,32,0
41,3,9,2,0,0,0,48,38,0
30,3,9,2,6,5013,0,40,38,0
30,3,13,2,11,2407,0,40,38,0
32,8,4,3,14,0,0,40,41,0
48,3,9,2,13,0,0,40,38,0
42,3,16,2,9,0,0,45,38,1
29,3,10,0,12,0,0,58,38,0
36,3,9,2,2,0,0,40,38,0
28,3,10,0,0,0,0,40,38,0
53,3,9,2,0,0,0,40,38,1
49,4,10,2,3,0,0,50,38,1
25,8,10,4,14,0,0,40,38,0
19,3,10,4,9,0,0,32,38,0
31,3,13,5,11,0,0,40,38,0
29,5,13,2,11,0,0,70,38,1
23,3,10,4,6,0,0,40,38,0
79,3,10,2,9,0,0,20,38,0
27,3,9,4,7,0,0,40,25,0
40,3,12,2,0,0,0,40,38,0
67,8,6,2,14,0,0,2,38,0
18,3,7,4,7,0,0,22,38,0
31,1,4,2,4,0,0,40,38,0
18,3,9,4,11,0,0,30,38,0
52,3,13,2,7,0,0,40,4,0
46,3,9,2,7,0,0,40,38,0
59,3,9,2,11,0,0,48,38,0
44,3,9,0,2,14344,0,40,38,1
53,3,9,0,11,0,0,35,38,0
49,1,9,2,10,0,0,40,38,1
33,3,14,2,9,0,0,50,38,0
30,3,5,4,11,0,0,40,38,0
43,0,16,4,9,0,0,50,38,1
57,3,11,2,9,0,0,40,38,0
37,3,10,0,2,0,0,40,38,0
28,3,10,0,6,0,0,25,38,0
30,3,9,2,11,0,1573,35,41,0
34,1,13,2,10,0,0,40,38,1
29,1,10,4,5,0,0,50,38,0
48,5,16,2,9,0,1902,60,38,1
37,3,10,2,11,0,0,48,38,1
48,3,12,0,3,0,0,40,8,0
32,0,9,4,7,0,0,40,38,0
76,3,14,2,3,0,0,40,38,1
44,3,13,2,3,15024,0,60,38,1
47,5,14,4,9,0,0,50,38,0
20,3,10,4,12,0,0,40,38,0
29,3,9,4,2,0,0,40,38,0
32,4,9,2,2,7688,0,40,38,1
17,8,6,4,14,34095,0,32,38,0
30,3,7,4,5,0,0,40,38,0
31,1,9,4,0,0,0,40,38,0
42,3,9,2,5,0,0,40,38,0
24,3,13,4,11,0,0,40,38,0
38,3,15,2,9,0,0,40,38,1
56,5,9,2,7,0,1887,50,1,1
28,3,10,2,11,4064,0,25,38,0
36,3,9,4,6,0,0,40,38,0
53,3,5,2,5,0,0,50,38,0
56,4,10,2,11,0,0,50,38,0
49,1,11,2,2,0,0,40,38,1
55,3,10,2,11,0,0,56,38,0
22,3,9,4,2,0,0,41,38,0
21,3,10,4,7,0,0,40,38,0
40,3,13,2,3,0,0,60,38,0
30,3,13,4,3,0,0,40,10,0
29,6,13,2,9,0,0,50,38,1
19,3,10,4,7,0,0,35,38,0
47,3,13,2,3,0,0,40,38,1
20,3,10,4,0,0,1719,28,38,0
31,3,12,2,0,0,0,40,38,1
35,8,9,2,14,0,0,40,38,0
39,3,10,0,2,0,0,40,38,0
28,3,12,4,11,0,0,60,38,0
24,3,9,4,7,0,1762,40,38,0
38,5,9,2,2,4386,0,35,38,0
37,3,13,2,11,0,0,50,38,0
46,3,12,0,12,0,0,36,38,0
38,0,14,2,9,0,0,40,19,1
43,5,9,2,2,0,0,60,38,0
27,3,11,2,0,0,0,35,38,0
20,3,10,4,11,0,0,20,38,0
49,3,10,2,2,0,0,40,38,1
61,4,9,2,2,0,0,40,38,0
27,3,10,4,11,0,0,40,38,0
19,3,10,4,7,0,0,30,25,0
45,3,11,4,9,0,1564,40,38,1
70,3,10,4,12,0,0,40,38,0
31,3,9,4,13,0,0,30,38,0
22,3,10,2,7,0,0,24,38,0
36,3,9,6,7,0,0,24,38,0
64,3,7,2,2,0,2179,40,38,0
43,8,10,0,14,0,0,40,38,0
47,1,10,0,0,0,0,38,25,0
34,3,9,4,0,0,0,40,38,0
33,3,13,4,3,0,0,40,29,0
21,3,9,4,2,0,0,35,38,0
52,8,9,0,14,0,0,45,38,1
48,3,9,2,2,0,0,46,38,0
23,3,13,4,5,0,0,40,38,0
71,5,10,5,11,0,1816,2,38,0
29,3,9,0,2,0,0,60,38,0
42,3,13,5,7,0,0,50,38,0
68,8,2,0,14,0,0,20,38,0
25,3,9,4,7,0,0,40,38,0
44,4,14,0,3,0,0,40,38,0
28,3,9,4,3,0,0,40,8,0
45,5,14,2,11,0,0,40,38,1
36,3,10,0,7,0,0,40,25,0
39,0,12,4,3,0,0,42,38,0
46,6,14,6,10,0,0,40,38,0
18,3,7,4,5,0,0,16,38,0
66,1,11,6,9,0,0,20,38,0
27,3,9,4,7,0,1980,40,38,0
28,6,9,2,10,0,0,40,38,0
51,3,10,2,11,0,1977,40,38,1
27,3,13,4,2,0,0,50,38,0
28,6,13,2,9,0,0,40,38,1
27,3,9,3,11,0,0,25,38,0
21,3,9,4,2,0,0,40,38,0
34,3,9,4,5,0,0,40,38,0
18,3,9,4,7,0,0,12,38,0
33,3,13,2,9,0,0,65,38,0
44,1,10,2,3,0,0,38,38,1
43,3,10,0,0,0,0,40,38,0
30,3,10,4,2,0,0,45,38,0
40,3,4,2,6,0,0,40,25,1
37,0,10,2,0,0,0,42,38,1
34,3,9,2,0,0,0,40,38,0
41,5,13,0,3,0,0,40,38,0
53,8,13,0,14,0,0,50,38,0
31,3,14,2,9,0,0,50,38,0
58,6,16,2,9,0,0,1,38,1
38,3,10,0,6,0,0,28,38,0
24,3,10,2,6,0,0,40,38,0
41,1,13,2,2,0,0,40,38,0
47,3,10,2,12,0,0,45,38,0
41,0,13,2,12,0,0,24,38,0
23,3,3,2,13,0,0,40,25,0
36,3,10,0,2,0,0,40,38,0
40,0,14,4,3,14084,0,55,38,1
35,3,14,2,9,7298,0,40,38,1
24,5,9,4,11,0,0,40,38,0
26,3,14,4,9,0,1876,40,38,0
19,8,9,4,14,0,0,40,21,0
51,3,13,2,3,0,0,50,38,1
42,1,10,4,9,0,1340,40,38,0
37,6,9,0,0,0,0,35,38,0
18,3,7,4,11,0,0,40,38,0
36,3,13,2,7,7298,0,36,38,1
35,3,9,0,2,0,0,60,38,0
58,4,9,2,11,15024,0,35,38,1
17,3,7,4,11,0,0,12,38,0
44,1,9,2,13,0,0,40,38,0
37,3,9,2,2,0,0,40,38,1
35,3,10,4,11,0,0,40,38,0
60,3,9,2,2,0,0,40,38,0
54,4,4,2,6,0,0,40,38,1
37,3,13,4,3,0,0,60,38,1
50,3,12,0,11,0,0,40,38,0
38,3,13,2,11,0,0,50,30,0
45,3,13,2,9,0,0,55,38,0
25,3,6,4,2,0,0,40,38,0
31,3,10,2,5,0,0,40,38,0
64,8,2,0,14,0,0,40,38,0
90,3,9,4,7,0,2206,40,38,0
54,3,9,2,0,0,0,20,38,0
53,1,1,4,6,0,0,35,38,0
18,3,9,4,11,0,0,40,38,0
60,8,6,0,14,0,0,10,38,0
66,5,9,2,4,1409,0,50,38,0
75,3,11,6,0,0,0,20,3,0
65,3,9,0,0,0,0,40,38,0
35,3,7,5,13,3674,0,40,38,0
41,3,9,0,11,0,0,38,38,0
25,3,10,4,0,0,0,42,38,0
33,3,10,0,2,0,0,40,38,0
28,3,15,4,9,0,0,55,38,1
59,6,9,2,7,0,0,40,38,0
40,6,10,4,0,0,0,38,38,0
41,3,13,2,3,0,0,50,19,1
38,1,14,2,3,0,0,70,38,1
23,3,9,4,13,0,0,40,38,0
40,3,13,2,9,0,0,40,38,1
41,5,9,2,7,0,0,20,38,0
24,6,12,2,10,0,0,50,38,0
20,8,10,4,14,0,0,20,38,0
38,3,10,0,2,0,1741,40,38,0
56,3,9,2,0,0,0,35,41,0
58,3,9,2,0,0,0,45,38,1
32,3,9,4,7,0,0,34,38,0
40,3,12,2,12,0,1977,60,38,1
45,3,9,2,0,0,0,40,41,0
41,3,15,2,9,0,0,40,38,1
42,3,13,2,0,0,0,40,38,0
59,1,6,6,7,0,0,30,38,0
19,1,10,4,0,0,0,40,38,0
58,3,10,4,13,0,0,20,38,0
42,5,9,2,4,0,0,40,0,1
20,3,9,4,7,0,0,40,38,0
32,3,9,5,7,0,0,30,38,0
45,3,11,6,3,0,0,45,38,0
50,3,4,0,2,0,0,40,38,0
36,3,13,0,9,0,0,40,38,0
45,3,9,2,11,0,0,60,38,0
17,3,7,4,7,0,0,12,38,0
59,3,10,2,11,4064,0,40,38,0
26,3,7,2,2,0,0,40,38,0
37,4,10,2,3,0,0,75,36,1
19,8,10,4,14,0,0,24,1,0
64,3,9,2,3,0,0,40,38,1
33,3,13,4,9,0,0,45,38,0
33,3,9,2,2,0,0,40,38,1
61,3,9,2,3,0,0,40,38,1
17,3,5,4,7,1055,0,24,38,0
50,5,14,2,4,2407,0,98,38,0
27,1,14,4,9,0,0,35,38,0
30,3,9,0,9,0,0,40,38,0
43,3,9,2,5,0,0,40,38,0
44,3,10,2,2,7298,0,40,38,1
35,3,10,4,3,0,0,40,38,0
25,3,10,4,12,0,0,40,38,0
24,3,10,2,6,7298,0,48,38,1
22,3,13,4,9,0,0,15,10,0
42,1,10,2,2,5178,0,40,38,1
34,3,12,0,11,0,0,45,38,0
60,3,13,0,9,0,0,42,38,0
21,3,9,4,5,0,0,40,38,0
57,0,14,2,11,15024,0,40,38,1
41,3,15,2,9,0,0,60,38,1
50,3,10,0,7,0,0,45,38,0
25,3,13,4,3,0,0,40,38,0
50,3,4,2,2,0,0,40,6,0
36,3,13,2,9,0,0,45,38,0
31,3,9,0,9,0,0,40,38,0
29,1,13,4,10,0,0,56,38,0
21,3,10,4,11,0,0,45,38,0
27,3,13,4,12,0,0,40,38,0
65,3,9,2,13,0,0,16,38,0
37,4,13,0,11,0,0,60,38,0
39,8,14,2,14,3464,0,40,41,0
24,3,9,4,2,0,0,40,38,0
38,3,9,0,11,0,0,80,38,0
48,3,13,2,0,7688,0,40,38,1
21,3,10,4,7,0,0,25,38,0
